id,name,student_id,instructor_id,start_date
en65,History of Art,17,6,2023-07-06
63qV,Mathematics for Beginners,16,18,2023-02-21
1TYF,History of Art,3,19,2022-09-21
E18v,Mathematics for Beginners,18,1,2023-04-10
dZZP,History of Art,15,6,2023-03-16
SMSe,Computer Science 101,5,13,2022-07-29
x90C,English Literature Survey,19,20,2023-12-31
P33w,Introduction to Biology,15,6,2022-08-22
2079,Mathematics for Beginners,11,1,2023-09-12
1712,English Literature Survey,15,14,2023-01-26
Qk4W,Mathematics for Beginners,12,10,2023-03-11
hsn4,History of Art,6,20,2023-06-27
b96T,Mathematics for Beginners,5,6,2022-07-21
xb5a,Computer Science 101,1,12,2022-09-06
n9gg,History of Art,15,11,2022-09-01
h19M,Computer Science 101,16,12,2023-12-07
T2NK,English Literature Survey,12,14,2022-11-06
WN8J,Computer Science 101,16,13,2023-01-30
WU3V,Introduction to Biology,14,16,2022-09-19
SRKm,Computer Science 101,17,7,2022-12-24
dtCS,English Literature Survey,12,5,2023-12-05
06P6,English Literature Survey,8,19,2023-08-17
zOC0,English Literature Survey,5,4,2022-09-16
smDr,Computer Science 101,20,11,2023-07-18
0Mhz,History of Art,8,16,2023-11-02
YY58,Mathematics for Beginners,4,20,2023-07-07
v6t5,Introduction to Biology,17,1,2023-10-23
1abY,History of Art,5,8,2023-07-24
349Q,Introduction to Biology,6,9,2023-11-11
R8nB,History of Art,17,2,2023-05-04
pj35,Computer Science 101,5,1,2022-11-01
7a66,Computer Science 101,19,12,2022-10-01
33pA,Computer Science 101,8,20,2023-07-16
JAM6,Computer Science 101,4,4,2023-09-12
vw1I,English Literature Survey,2,9,2023-03-17
iLYT,Introduction to Biology,11,11,2022-11-18
U9qw,Mathematics for Beginners,2,6,2023-12-01
r0JC,Computer Science 101,4,11,2022-08-18
ZY6W,History of Art,9,13,2023-05-07
7FPx,History of Art,16,9,2023-06-29
Yzwj,Mathematics for Beginners,6,16,2022-08-07
YEH5,History of Art,18,8,2023-05-05
8eWW,History of Art,15,20,2022-11-11
KORq,History of Art,2,14,2023-08-19
l05Z,Computer Science 101,18,4,2023-05-24
yPyH,English Literature Survey,10,1,2022-11-19
D23d,English Literature Survey,12,2,2022-08-06
0XNm,Introduction to Biology,20,8,2023-11-18
NRBj,Introduction to Biology,6,19,2022-07-06
2B6M,Mathematics for Beginners,1,1,2023-10-31
